Canadienne,Taurus,Canada,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/8/8b/Canadienne_heifer.jpg     ,,,,
Canaria,Taurus,Spain,Meat,—,Draught,—,,,,,
Canchim,Taurus/Indicus hybrid,Brazil,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Touro_Canchim_REFON.jpg/800px-Touro_Canchim_REFON.jpg     ,,,,
Caracu,Taurus,Brazil,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Boi_caracu_no_pasto.JPG/800px-Boi_caracu_no_pasto.JPG     ,,,,
Cárdena Andaluza,Taurus,Spain,Meat,—,Draught,—,,,,,
Carinthian Blondvieh,Taurus,Austria,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/K%C3%A4rntner_Blondvieh2.JPG/800px-K%C3%A4rntner_Blondvieh2.JPG     ,,,,
Carora,Taurus,Venezuelan,Meat,Dairy,Draught,—,,,,,
Charbray,Taurus/Indicus hybrid,United States,Meat,—,—,—,,,,,
Charolais,Taurus,France,Meat,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/3/3f/Vache_de_race_charolaise_avec_son_veau.jpg     ,,,,
Chateaubriand,—,—,—,—,—,—,,,,,
Chiangus,Taurus,—,Meat,—,—,—,,,,,
Chianina,Taurus,Italy,Meat,—,Draught,—,,,,,
Chillingham cattle,Taurus,England,—,—,—,Feral, https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Chianina_cow_and_calf%2C_Tuscany.jpg/800px-Chianina_cow_and_calf%2C_Tuscany.jpg     ,,,,
Chinese Black Pied,Taurus,China,—,Dairy,—,—,,,,,
Cholistani Cattle,Indicus,Pakistan,—,Dairy,—,—,,,,,
Cika cattle,Taurus,Slovenia,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Bled_%285081158314%29.jpg/800px-Bled_%285081158314%29.jpg     ,,,,
Coloursided White Back,Taurus,—,Meat,Dairy,—,—,,,,,
Commercial,—,—,—,—,—,—,,,,,
Corriente,Taurus,Spain,Meat,Dairy,Draught,Sport, https://upload.wikimedia.org/wikipedia/commons/5/51/Corriente.jpg     ,,,,
Corsican cattle,Taurus,France,Meat,—,—,"Often free-ranging, semi-feral", https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Korsech_Kou.jpg/800px-Korsech_Kou.jpg     ,,,,
